,Unnamed: 0,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Y,X
2611,2611,Paris76,48.85163492565586,2.418421173047852,La Table à Jaja,48.85298086076897,2.4247979876231387,French Restaurant,5487834.507917331,-421444.9859972176
2623,2623,Paris76,48.85163492565586,2.418421173047852,Père et Fils,48.85103003125343,2.4225137555883838,French Restaurant,5487646.463577338,-421648.2713984827
2636,2636,Paris76,48.85163492565586,2.418421173047852,Pimprenelle,48.853684,2.423604,French Restaurant,5487927.058896553,-421519.18074457103
2643,2643,Paris77,48.85281493353502,2.4290645210191117,La Table à Jaja,48.85298086076897,2.4247979876231387,French Restaurant,5487834.507917331,-421444.9859972176
2644,2644,Paris77,48.85281493353502,2.4290645210191117,L'Amourette,48.853155738385276,2.423548136279244,French Restaurant,5487869.228392212,-421533.0955263543
2648,2648,Paris77,48.85281493353502,2.4290645210191117,Le Jardin de Montreuil,48.85341297993661,2.4347323765448707,French Restaurant,5487760.430230269,-420710.7455939271
2649,2649,Paris77,48.85281493353502,2.4290645210191117,MIM,48.849847114023724,2.4265548996299917,French Restaurant,5487465.802239537,-421374.8602619602
2661,2661,Paris78,48.84288322839403,2.283873173675584,L'Ardoise du XV,48.843303729874506,2.2813002078197298,French Restaurant,5488535.10453354,-432116.38006536907
2663,2663,Paris78,48.84288322839403,2.283873173675584,La Grenouille Bleue,48.8416164125807,2.277793650257065,French Restaurant,5488391.785418511,-432404.50798197545
2669,2669,Paris78,48.84288322839403,2.283873173675584,Axuria,48.84070914060227,2.286971294589708,French Restaurant,5488177.275081432,-431750.5926251294
2694,2694,Paris78,48.84288322839403,2.283873173675584,Le Murmure,48.84113764358547,2.2876614009532794,French Restaurant,5488216.167528752,-431692.07571080746
2697,2697,Paris78,48.84288322839403,2.283873173675584,La Petite Rotonde,48.84112545658636,2.287971946574713,French Restaurant,5488210.961297442,-431669.600434541
2706,2706,Paris78,48.84288322839403,2.283873173675584,Blavet,48.845319641643684,2.2877548602619027,French Restaurant,5488678.21959064,-431606.5634227332
2708,2708,Paris78,48.84288322839403,2.283873173675584,Restaurant Stéphane Martin,48.845162,2.289421,French Restaurant,5488640.070305599,-431487.7249972612
2710,2710,Paris79,48.844075497930405,2.294509056641879,La Véraison,48.844950614973534,2.297379135258496,French Restaurant,5488517.879068977,-430909.91199949244
2716,2716,Paris79,48.844075497930405,2.294509056641879,Le Café du Commerce,48.846355028687775,2.295862553601544,French Restaurant,5488692.256470222,-430994.3778211414
2722,2722,Paris79,48.844075497930405,2.294509056641879,Neige d'Été,48.84543118419596,2.2990782368513654,French Restaurant,5488550.027620367,-430776.6633273739
2732,2732,Paris79,48.844075497930405,2.294509056641879,La Ficelle,48.847327,2.2983029999999998,French Restaurant,5488769.633904254,-430797.69882469194
2737,2737,Paris79,48.844075497930405,2.294509056641879,Les Trois Garçons,48.841354056997346,2.2912989131832022,French Restaurant,5488194.973761386,-431422.0600952506
2757,2757,Paris80,48.845266807537726,2.305145637743021,Le Radis Beurre,48.846278999999996,2.3077099999999997,French Restaurant,5488536.883696157,-430129.704214873
2764,2764,Paris80,48.845266807537726,2.305145637743021,Les Artisans,48.8427629950842,2.303224233860309,French Restaurant,5488203.058701016,-430523.703324519
2766,2766,Paris80,48.845266807537726,2.305145637743021,L’Antre Amis,48.84674048720314,2.310218811035156,French Restaurant,5488556.899855638,-429937.63070429966
2768,2768,Paris80,48.845266807537726,2.305145637743021,Neige d'Été,48.84543118419596,2.2990782368513654,French Restaurant,5488550.027620367,-430776.6633273739
2772,2772,Paris80,48.845266807537726,2.305145637743021,Le Baribal,48.841975482175805,2.3090405021435116,French Restaurant,5488043.710823342,-430113.2655107102
2774,2774,Paris80,48.845266807537726,2.305145637743021,Wallace,48.84203430420329,2.3031528570066984,French Restaurant,5488123.230801344,-430542.6139387927
2782,2782,Paris80,48.845266807537726,2.305145637743021,Caffé Cambronne,48.84744025782975,2.3015617090319505,French Restaurant,5488741.753109495,-430557.34901529015
2791,2791,Paris80,48.845266807537726,2.305145637743021,Les Volontaires,48.84154827913572,2.3079924039253417,French Restaurant,5488009.385171265,-430197.9175230056
2796,2796,Paris80,48.845266807537726,2.305145637743021,L'Atelier Suffren,48.84924518143268,2.3037563018012905,French Restaurant,5488914.455143822,-430363.0017497592
2810,2810,Paris80,48.845266807537726,2.305145637743021,Au Rendez-vous des Arts,48.8473597029143,2.3036370648474493,French Restaurant,5488707.090378806,-430407.14818401576
2819,2819,Paris81,48.84645715705771,2.3157829164755483,Joséphine Chez Dumonet,48.84576261454011,2.3198962211608887,French Restaurant,5488328.679156536,-429248.51885350735
2821,2821,Paris81,48.84645715705771,2.3157829164755483,Le Bien Décidé,48.84586623959467,2.31969192289687,French Restaurant,5488342.687598852,-429261.5096965262
2824,2824,Paris81,48.84645715705771,2.3157829164755483,Plume,48.84877118883234,2.319200187921524,French Restaurant,5488670.5458525345,-429242.94076361216
2825,2825,Paris81,48.84645715705771,2.3157829164755483,L'Authentique,48.843371000000005,2.314379,French Restaurant,5488132.120496468,-429696.7609718903
2828,2828,Paris81,48.84645715705771,2.3157829164755483,H Kitchen,48.84643711043046,2.3191559314727783,French Restaurant,5488412.559130077,-429289.98041344003
2829,2829,Paris81,48.84645715705771,2.3157829164755483,Le Petit Lutetia,48.84834846372899,2.320596277713776,French Restaurant,5488606.431537389,-429148.81689354416
2833,2833,Paris81,48.84645715705771,2.3157829164755483,L’Antre Amis,48.84674048720314,2.310218811035156,French Restaurant,5488556.899855638,-429937.63070429966
2843,2843,Paris81,48.84645715705771,2.3157829164755483,Domaine de Lintillac,48.84864322440734,2.318442463874817,French Restaurant,5488665.757331838,-429300.7333400928
2849,2849,Paris81,48.84645715705771,2.3157829164755483,Les Zazous,48.84475339204912,2.3209502459116726,French Restaurant,5488203.837920188,-429190.4000771984
2857,2857,Paris81,48.84645715705771,2.3157829164755483,Le Bistrot Landais,48.84688374488228,2.3214287679571526,French Restaurant,5488433.881533578,-429115.44372015493
2858,2858,Paris81,48.84645715705771,2.3157829164755483,Nakatani,48.84841288761822,2.3195944726467133,French Restaurant,5488625.974984095,-429220.8421221931
2859,2859,Paris81,48.84645715705771,2.3157829164755483,Chez Édouard,48.845422629989564,2.3191383889957256,French Restaurant,5488300.40706253,-429310.3015161158
2866,2866,Paris81,48.84645715705771,2.3157829164755483,XVème Avenue,48.844315110817774,2.3203323413351296,French Restaurant,5488162.944095077,-429243.7979363296
2876,2876,Paris81,48.84645715705771,2.3157829164755483,Zéro Zéro Sèvres,48.84847201632034,2.3203977942466736,French Restaurant,5488622.575049627,-429161.0079498094
2878,2878,Paris81,48.84645715705771,2.3157829164755483,Oudino,48.850294,2.317718,French Restaurant,5488857.579635181,-429322.7078288393
2882,2882,Paris81,48.84645715705771,2.3157829164755483,La Marquise,48.84504721738054,2.3205504871866824,French Restaurant,5488241.334569899,-429214.1120774867
2897,2897,Paris82,48.84764654633216,2.3264208923357605,Mamie Gâteaux,48.848513,2.32456,French Restaurant,5488575.57501601,-428855.9726013574
2900,2900,Paris82,48.84764654633216,2.3264208923357605,L'Épi Dupin,48.849660462753754,2.325133123953337,French Restaurant,5488695.57891019,-428792.5510655795
2902,2902,Paris82,48.84764654633216,2.3264208923357605,La Marlotte,48.84869021478932,2.3248857240480008,French Restaurant,5488591.171689551,-428828.8370783065
2903,2903,Paris82,48.84764654633216,2.3264208923357605,Le Petit Verdot,48.84805021211442,2.3234115866648843,French Restaurant,5488538.532863286,-428948.60657446366
2918,2918,Paris82,48.84764654633216,2.3264208923357605,Atelier Vivanda,48.85068550902236,2.3281043551598084,French Restaurant,5488772.339399066,-428556.1280633826
2923,2923,Paris82,48.84764654633216,2.3264208923357605,Le Petit Lutetia,48.84834846372899,2.320596277713776,French Restaurant,5488606.431537389,-429148.81689354416
2931,2931,Paris82,48.84764654633216,2.3264208923357605,Le Timbre,48.84423959230865,2.3298675409516423,French Restaurant,5488036.529387603,-428548.10827604146
2940,2940,Paris82,48.84764654633216,2.3264208923357605,Moustache,48.84413771840043,2.329804987376627,French Restaurant,5488026.019336994,-428554.5916643478
2948,2948,Paris82,48.84764654633216,2.3264208923357605,Invictus,48.84415783017536,2.329631687349952,French Restaurant,5488030.391771155,-428566.8843737799
2951,2951,Paris82,48.84764654633216,2.3264208923357605,À La Duchesse Anne,48.84402393096889,2.3245176672935486,French Restaurant,5488078.86396946,-428943.2769042151
2959,2959,Paris82,48.84764654633216,2.3264208923357605,Zéro Zéro Sèvres,48.84847201632034,2.3203977942466736,French Restaurant,5488622.575049627,-429161.0079498094
2997,2997,Paris83,48.84883497520298,2.3370595648197536,La Jacobine,48.853112095027335,2.3390570452594,French Restaurant,5488905.622316089,-427710.0232257204
3002,3002,Paris83,48.84883497520298,2.3370595648197536,Le Procope,48.85299129999999,2.3387974999999996,French Restaurant,5488895.451835409,-427731.25850604137
3010,3010,Paris83,48.84883497520298,2.3370595648197536,La Maison du Jardin,48.848347589432315,2.331380856858745,French Restaurant,5488472.829615543,-428360.4527769566
